target,role,tier,stat,mlbam_id,name,age,prior_pa,target_pa,pred,actual,q10,q90
2021,P,tier2,fip,571901,Aaron Loup,33.0,93.0,217.0,4.112435616985285,2.49599423014542,3.5136290141529405,4.714129070972213
2021,P,tier2,fip,533167,Matt Shoemaker,34.0,114.0,280.0,4.966604603373172,6.567589940252667,4.25022532749915,5.642827735178115
2021,P,tier2,fip,669203,Corbin Burnes,26.0,240.0,656.0,3.2599128819666565,1.6806014862215028,2.6329922462580093,3.867486757261457
2021,P,tier2,fip,643256,Adam Cimber,30.0,49.0,282.0,4.478189208040919,2.954407362840358,4.019561033090194,4.96127621983702
2021,P,tier2,fip,666200,Jesús Luzardo,23.0,246.0,434.0,3.9894550386866348,5.495747418133902,3.324323419440488,4.646058896722997
2021,P,tier2,fip,552640,Andrew Kittredge,31.0,31.0,276.0,4.381538968369574,2.884639920979893,3.7382660458661383,4.9871471684229665
2021,P,tier2,fip,657277,Logan Webb,24.0,243.0,593.0,4.262869483736542,2.767838248651699,3.8071586284354013,4.710286401941914
2021,P,tier2,fip,471911,Carlos Carrasco,34.0,279.0,237.0,3.7913866650506187,5.269213082903915,3.198354933158939,4.376724172236717
2021,P,tier2,fip,543272,Brad Hand,31.0,84.0,271.0,2.964706087997634,4.441173126446207,2.260395410275708,3.6396577838334987
2021,P,tier2,fip,429722,Ervin Santana,38.0,0.0,276.0,5.945959066788678,4.474625682726453,5.280693842271912,6.64419551189416
2021,P,tier2,fip,554430,Zack Wheeler,31.0,285.0,841.0,4.082165326607677,2.6242111419101253,3.674754679178249,4.468712172885346
2021,P,tier2,fip,570666,Luis Cessa,29.0,92.0,258.0,4.84397716416913,3.3896267346936306,4.282620886692784,5.395106886604951
2021,P,tier2,fip,605242,Michael Fulmer,28.0,135.0,295.0,4.852838915649256,3.4204805797091686,4.3110570392023115,5.403737257590262
2021,P,tier2,fip,592314,Mike Foltynewicz,29.0,16.0,583.0,4.643090295008523,6.068444505219477,4.002807046344341,5.278779069217258
2021,P,tier2,fip,543135,Nathan Eovaldi,31.0,198.0,761.0,4.233230334701307,2.8081890898077493,3.693673185466534,4.770597416484013
2021,P,tier2,fip,572193,Ryan Tepera,33.0,89.0,239.0,4.148612248841762,2.7303932071275168,3.5223584475959604,4.771779983972943
2021,P,tier2,fip,592826,Vince Velasquez,29.0,153.0,413.0,4.457475739723661,5.869700320355355,3.8137073687239176,5.089662854989474
2021,P,tier2,fip,592644,Adam Plutko,29.0,115.0,253.0,5.713757898964077,7.124849085697108,5.100117999629025,6.345209132499243
2021,P,tier2,fip,641482,Nestor Cortes,26.0,43.0,373.0,5.226833169635347,3.832426867716577,4.516127688039555,5.94306852801473
2021,P,tier2,fip,656557,Tanner Houck,25.0,63.0,283.0,3.9708056835884498,2.5818424824898356,3.150971421894802,4.832130430795439
2021,P,tier2,fip,502706,Derek Holland,34.0,179.0,224.0,5.308562172909762,3.9443558566752266,4.713962679705882,5.900413620089733
